"playerID","yearID","stint","teamID","lgID","W","L","G","GS","CG","SHO","SV","IPouts","H","ER","HR","BB","SO","BAOpp","ERA","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP"
"adamsba01",1909,1,"PIT","NL",12,3,25,12,7,3,2,390,88,16,0,23,65,0.19,1.11,,1,3,0,475,11,25,,,
"adamsba01",1910,1,"PIT","NL",18,9,34,30,16,3,0,735,217,61,4,60,101,0.24,2.24,,1,6,0,971,3,95,,,
"adamsba01",1911,1,"PIT","NL",22,12,40,37,24,6,0,880,253,76,5,42,133,0.23,2.33,,3,8,0,1117,2,97,,,
"adamsba01",1912,1,"PIT","NL",11,8,28,21,11,2,0,511,169,55,4,35,63,0.26,2.91,,0,3,0,704,5,73,,,
"adamsba01",1913,1,"PIT","NL",21,10,43,37,24,4,0,941,271,75,8,49,144,0.23,2.15,,5,0,0,1227,5,94,,,
"adamsba01",1914,1,"PIT","NL",13,16,40,35,19,3,1,849,253,79,5,39,91,0.24,2.51,,2,7,0,1116,4,97,,,
"adamsba01",1915,1,"PIT","NL",14,14,40,30,17,2,2,735,229,78,6,34,62,0.25,2.87,,2,2,0,969,8,90,,,
"adamsba01",1916,1,"PIT","NL",2,9,16,10,4,1,0,217,91,46,2,12,22,0.32,5.72,,1,3,0,314,5,51,,,
"adamsba01",1918,1,"PIT","NL",1,1,3,3,2,0,0,68,15,3,0,4,6,0.19,1.19,,0,0,0,82,0,4,,,
"adamsba01",1919,1,"PIT","NL",17,10,34,29,23,6,1,790,213,58,1,23,92,0.22,1.98,,2,3,0,1017,5,66,,,
"adamsba01",1920,1,"PIT","NL",17,13,35,33,19,8,2,789,240,63,6,18,84,0.24,2.16,,5,1,0,1035,2,83,,,
